uid,NAME_CONTRACT_TYPE,TARGET
AAA02107680,cash loans,0
AAA14437029,cash loans,0
AAB12915377,cash loans,0
AAB55088883,cash loans,0
AAB68152393,cash loans,1
AAB81290576,cash loans,0
AAC29580834,cash loans,0
AAC82689201,revolving loans,0
AAC85763409,cash loans,0
AAD28872488,cash loans,0
AAE38809797,cash loans,0
AAE51339986,cash loans,0
AAE74041438,cash loans,0
AAF09759241,cash loans,0
AAF50979440,cash loans,0
AAF97291472,cash loans,0
AAG04946904,cash loans,0
AAG06468990,cash loans,0
AAG67018395,cash loans,0
AAG88085948,cash loans,0
AAG89824184,revolving loans,0
AAH06178213,cash loans,0
AAH68500502,cash loans,0
AAH92415520,cash loans,0
AAI35552773,revolving loans,0
AAJ01073739,cash loans,0
AAJ52339177,revolving loans,0
AAJ61389403,cash loans,0
AAJ66946128,cash loans,0
AAK13567538,revolving loans,0
AAK30843961,cash loans,0
AAK79175387,cash loans,0
AAL25969491,cash loans,0
AAL42245978,cash loans,0
AAL86768643,revolving loans,0
AAM07765986,cash loans,0
AAM29102442,cash loans,0
AAM80907870,cash loans,0
AAN13223253,cash loans,0
AAN24100041,cash loans,0
AAN39708981,cash loans,0
AAN41993646,cash loans,0
AAN89962900,cash loans,0
AAO25321501,cash loans,0
AAO93012509,cash loans,0
AAO94272201,cash loans,0
AAP05527303,cash loans,0
AAP65900343,cash loans,0
AAP71307881,cash loans,0
AAP84809739,cash loans,0
AAQ19364437,cash loans,0
AAQ47245324,cash loans,0
AAR21264498,cash loans,0
AAR44719177,cash loans,0
AAS46317664,cash loans,0
AAS49327849,revolving loans,0
AAU41478883,cash loans,0
AAU42500925,cash loans,0
AAU58407465,cash loans,0
AAV78388685,cash loans,0
AAV83037267,revolving loans,0
AAV85907557,cash loans,0
AAV89925381,cash loans,0
AAV99121101,cash loans,0
AAW65798306,cash loans,0
AAW71275485,cash loans,0
AAX50423344,cash loans,0
AAX70184319,cash loans,0
AAY30951050,cash loans,0
AAY37879705,revolving loans,0
AAY52537409,revolving loans,0
AAY60376005,cash loans,0
AAZ28726484,cash loans,0
AAZ48160590,cash loans,0
